epoch,train_loss,lr,max_miou,best_mdice,best_mhd95,best_epoch,val_loss,val_miou,val_mdice,val_mhd95,iou_cls_0,dice_cls_0,hd95_cls_0,iou_cls_1,dice_cls_1,hd95_cls_1,iou_cls_2,dice_cls_2,hd95_cls_2,iou_cls_3,dice_cls_3,hd95_cls_3
70,1.450117773,6.96E-05,0.723045256,0.648019613,19.52429937,69,0.365150578,0.723045256,0.648019613,19.52429937,0.7654125,0.547868201,10.7215697,0.574860141,0.510312119,27.55495626,0.688817869,0.653153484,26.14592803,0.863090514,0.880744649,13.67474351
71,1.442778198,6.58E-05,0.723045256,0.648019613,19.52429937,69,0.354165401,0.718775175,0.642969001,19.52114797,0.784627855,0.540197253,10.40532424,0.579663978,0.508244108,27.27801076,0.656525395,0.644409103,26.37144414,0.854283472,0.87902554,14.02981272
72,1.464217989,6.21E-05,0.723045256,0.648019613,19.52429937,69,0.354165401,0.718775175,0.642969001,19.52114797,0.784627855,0.540197253,10.40532424,0.579663978,0.508244108,27.27801076,0.656525395,0.644409103,26.37144414,0.854283472,0.87902554,14.02981272
73,1.443926963,5.85E-05,0.723045256,0.648019613,19.52429937,69,0.357048592,0.715572624,0.648663834,18.64846195,0.75980802,0.569847977,10.75028026,0.562583671,0.502494379,25.857485,0.661329234,0.639835655,24.98981149,0.878569568,0.882477325,12.99627104
74,1.45046135,5.50E-05,0.723045256,0.648019613,19.52429937,69,0.357048592,0.715572624,0.648663834,18.64846195,0.75980802,0.569847977,10.75028026,0.562583671,0.502494379,25.857485,0.661329234,0.639835655,24.98981149,0.878569568,0.882477325,12.99627104
75,1.425669705,5.15E-05,0.730184298,0.659803609,18.82041387,75,0.353515503,0.730184298,0.659803609,18.82041387,0.772351376,0.569933092,10.27624996,0.585001581,0.521470801,27.4827412,0.694956109,0.663072979,24.76696659,0.868428124,0.884737565,12.75569772
76,1.400594844,4.82E-05,0.730184298,0.659803609,18.82041387,75,0.353515503,0.730184298,0.659803609,18.82041387,0.772351376,0.569933092,10.27624996,0.585001581,0.521470801,27.4827412,0.694956109,0.663072979,24.76696659,0.868428124,0.884737565,12.75569772
77,1.421675689,4.50E-05,0.730184298,0.659803609,18.82041387,75,0.366909343,0.708099976,0.64027246,19.5896549,0.764878738,0.550367551,10.49997629,0.550840936,0.494290133,27.70940935,0.642647632,0.632631173,26.96289875,0.874032599,0.883800984,13.1863352
78,1.451566009,4.19E-05,0.730184298,0.659803609,18.82041387,75,0.366909343,0.708099976,0.64027246,19.5896549,0.764878738,0.550367551,10.49997629,0.550840936,0.494290133,27.70940935,0.642647632,0.632631173,26.96289875,0.874032599,0.883800984,13.1863352
79,1.386023019,3.88E-05,0.730184298,0.659803609,18.82041387,75,0.355213661,0.71697374,0.642236386,19.0501495,0.770216339,0.563637421,10.47191124,0.568188148,0.492282812,26.69002298,0.65946107,0.629231118,26.11822979,0.870029402,0.883794193,12.920434
80,1.410260668,3.60E-05,0.730184298,0.659803609,18.82041387,75,0.355213661,0.71697374,0.642236386,19.0501495,0.770216339,0.563637421,10.47191124,0.568188148,0.492282812,26.69002298,0.65946107,0.629231118,26.11822979,0.870029402,0.883794193,12.920434
81,1.412096407,3.32E-05,0.730184298,0.659803609,18.82041387,75,0.356809266,0.728649737,0.659347438,18.29205103,0.776087696,0.564137074,9.765704299,0.596477417,0.525686432,26.17921684,0.663197394,0.659335563,24.80387478,0.878836441,0.888230684,12.41940818
82,1.388753407,3.05E-05,0.730184298,0.659803609,18.82041387,75,0.356809266,0.728649737,0.659347438,18.29205103,0.776087696,0.564137074,9.765704299,0.596477417,0.525686432,26.17921684,0.663197394,0.659335563,24.80387478,0.878836441,0.888230684,12.41940818
83,1.436924343,2.80E-05,0.730184298,0.659803609,18.82041387,75,0.348723992,0.724379659,0.65114917,18.78906191,0.772885133,0.571782016,10.55878705,0.582065903,0.505099599,26.38756925,0.667467476,0.645628422,25.14465888,0.875100126,0.882086645,13.06523246
84,1.435520375,2.55E-05,0.730184298,0.659803609,18.82041387,75,0.348723992,0.724379659,0.65114917,18.78906191,0.772885133,0.571782016,10.55878705,0.582065903,0.505099599,26.38756925,0.667467476,0.645628422,25.14465888,0.875100126,0.882086645,13.06523246
85,1.393254858,2.32E-05,0.730184298,0.659803609,18.82041387,75,0.340156915,0.728583022,0.651522409,18.61019869,0.777155216,0.568681261,10.31398902,0.594075507,0.507777072,26.06119243,0.66933564,0.645729833,25.17962093,0.873765724,0.88390147,12.88599239
86,1.386969819,2.11E-05,0.730184298,0.659803609,18.82041387,75,0.340156915,0.728583022,0.651522409,18.61019869,0.777155216,0.568681261,10.31398902,0.594075507,0.507777072,26.06119243,0.66933564,0.645729833,25.17962093,0.873765724,0.88390147,12.88599239
87,1.392818054,1.90E-05,0.733386859,0.662257757,18.05591872,87,0.351138155,0.733386859,0.662257757,18.05591872,0.774753299,0.565326623,9.963745308,0.60528446,0.527691928,25.87911332,0.675206993,0.666368735,24.20147315,0.878302685,0.889643742,12.17934308
88,1.374114359,1.71E-05,0.733386859,0.662257757,18.05591872,87,0.351138155,0.733386859,0.662257757,18.05591872,0.774753299,0.565326623,9.963745308,0.60528446,0.527691928,25.87911332,0.675206993,0.666368735,24.20147315,0.878302685,0.889643742,12.17934308
89,1.446777658,1.54E-05,0.733386859,0.662257757,18.05591872,87,0.349595854,0.7325195,0.652794996,18.53827756,0.782225936,0.559408612,10.09091002,0.591940463,0.513892184,26.21604623,0.68214588,0.651035577,25.140682,0.873765723,0.886843611,12.70547199
90,1.390671597,1.37E-05,0.733386859,0.662257757,18.05591872,87,0.349595854,0.7325195,0.652794996,18.53827756,0.782225936,0.559408612,10.09091002,0.591940463,0.513892184,26.21604623,0.68214588,0.651035577,25.140682,0.873765723,0.886843611,12.70547199
91,1.378589758,1.22E-05,0.733386859,0.662257757,18.05591872,87,0.342569744,0.732319339,0.653755198,18.33925155,0.784360972,0.555709242,9.80002202,0.595676781,0.5181066,25.92725884,0.677075159,0.653529092,25.01816639,0.872164443,0.887675859,12.61155897
92,1.40086363,1.09E-05,0.733386859,0.662257757,18.05591872,87,0.342569744,0.732319339,0.653755198,18.33925155,0.784360972,0.555709242,9.80002202,0.595676781,0.5181066,25.92725884,0.677075159,0.653529092,25.01816639,0.872164443,0.887675859,12.61155897
93,1.410886969,9.63E-06,0.739525098,0.65944628,18.32913291,93,0.344711248,0.739525098,0.65944628,18.32913291,0.783026574,0.569538286,10.13561077,0.614358381,0.520745284,26.17429301,0.685081552,0.660834173,24.47457096,0.875633884,0.886667377,12.5320569
94,1.390287117,8.55E-06,0.739525098,0.65944628,18.32913291,93,0.344711248,0.739525098,0.65944628,18.32913291,0.783026574,0.569538286,10.13561077,0.614358381,0.520745284,26.17429301,0.685081552,0.660834173,24.47457096,0.875633884,0.886667377,12.5320569
95,1.388953238,7.61E-06,0.739525098,0.65944628,18.32913291,93,0.348601835,0.736856297,0.656387151,18.30870154,0.788897931,0.560883434,9.829935854,0.605818214,0.518088285,26.22359805,0.673071957,0.657662021,24.81122975,0.879637085,0.888914864,12.37004252
96,1.38811429,6.82E-06,0.739525098,0.65944628,18.32913291,93,0.348601835,0.736856297,0.656387151,18.30870154,0.788897931,0.560883434,9.829935854,0.605818214,0.518088285,26.22359805,0.673071957,0.657662021,24.81122975,0.879637085,0.888914864,12.37004252
97,1.360116033,6.16E-06,0.739525098,0.65944628,18.32913291,93,0.352835967,0.729650542,0.654450908,17.95356141,0.787296655,0.567874255,9.852552018,0.576728309,0.508111509,25.53620571,0.68027772,0.650340103,24.54284213,0.874299486,0.891477767,11.88264577
98,1.395204259,5.65E-06,0.739525098,0.65944628,18.32913291,93,0.352835967,0.729650542,0.654450908,17.95356141,0.787296655,0.567874255,9.852552018,0.576728309,0.508111509,25.53620571,0.68027772,0.650340103,24.54284213,0.874299486,0.891477767,11.88264577
99,1.417917518,5.29E-06,0.742127177,0.659701035,18.38357074,99,0.341400322,0.742127177,0.659701035,18.38357074,0.788631053,0.561452992,9.606124741,0.618094698,0.525831052,26.68649904,0.67840955,0.663318827,24.85339895,0.883373407,0.888201268,12.38826022
